"frame_number"	"time_in_deciseconds"	"X"	"Y"	"Z"	"ID"
"1"	223	22.2	2613.526	2527.307	17.777	75
"2"	305	30.4	2646.211	2164.566	116.159	94
"3"	372	37.1	2876.683	2551.781	-61.14	104
"4"	421	42	2833.145	2541.619	-70.208	112
"5"	456	45.5	2567.693	2128.269	113.354	132
"6"	755	75.4	2495.36	2085.493	112.212	171
"7"	961	96	2694.006	1987.565	-44.325	198
"8"	1007	100.6	2696.639	1985.077	-31.23	209
"9"	1012	101.1	2432.207	2004.481	3.859	212
"10"	1022	102.1	2752.707	1989.072	-44.034	213
"11"	1247	124.6	2701.84	1979.625	-40.406	238
"12"	1257	125.6	2325.198	2098.413	105.528	242
"13"	1385	138.4	2351.726	2005.349	-43.881	253
"14"	1389	138.8	2350.948	2010.453	-29.079	258
"15"	1395	139.4	2667.813	2611.315	-232.477	260
"16"	1417	141.6	2606.776	2628.069	-106.913	263
"17"	1426	142.5	2664.888	2640.831	-102.545	270
"18"	1485	148.4	2244.242	2018.978	-32.965	273
"19"	1625	162.4	2844.628	2540.333	-73.681	285
"20"	1647	164.6	2315.82	2011.17	-38.285	291
"21"	1696	169.5	2767.367	2005.556	-35.67	294
"22"	1726	172.5	2765.603	1989.164	-38.372	296
"23"	1747	174.6	2749.875	1991.084	-42.825	300
"24"	1818	181.7	2730.716	1995.12	-45.221	308
"25"	1833	183.2	2738.718	1998.191	-43.107	310
"26"	1844	184.3	2747.045	1969.664	-32.755	314
"27"	1852	185.1	2137.71	1998.4	-3.951	317
"28"	1853	185.2	2137.023	1993.222	-13.173	318
"29"	1860	185.9	2716.49	1950.884	-41.206	319
"30"	1861	186	2724.703	1977.751	-31.924	320
"31"	1868	186.7	2719.782	1952.209	-43.918	321
"32"	1875	187.4	2717.566	1952.64	-42.191	322
"33"	1892	189.1	2721.21	1952.868	-44.032	324
"34"	1943	194.2	2727.704	1966.727	-28.74	332
"35"	1977	197.6	2711.476	1944.2	-38.854	338
"36"	2008	200.7	2666.949	1967.505	-41.303	344
"37"	2012	201.1	2726.864	2092.727	-8.392	346
"38"	2146	214.5	2616.001	2171.098	139.056	356
"39"	2313	231.2	2569.109	2166.949	124.352	369
"40"	2314	231.3	3072.25	1849.077	-36.375	370
"41"	2488	248.7	2547.815	2125.109	77	378
"42"	2553	255.2	2491.754	2202.968	133.047	380
"43"	2613	261.2	3163.37	2006.579	-30.627	381
"44"	2683	268.2	3190.492	1996.17	-35.823	387
"45"	2713	271.2	3196.666	1994.298	-27.575	389
"46"	2733	273.2	2758.692	2055.178	-33.393	391
"47"	2743	274.2	3206.563	1994.578	-27.63	392
"48"	2752	275.1	3206.854	1995.113	-27.459	393
"49"	2759	275.8	3212.077	2001.576	-25.437	395
"50"	2774	277.3	2730.675	2035.328	-41.466	399
"51"	2799	279.8	2699.08	2046.016	-45.922	401
"52"	2920	291.9	2614.59	2058.463	-39.849	409
"53"	2945	294.4	2370.825	2201.618	113.166	411
