"frame_number"	"time_in_deciseconds"	"X"	"Y"	"Z"	"ID"
"1"	1825	182.4	2736.723	1986.667	-52.021	75
"2"	979	97.8	2683.266	1978.559	-44.207	94
"3"	416	41.5	2877.75	2550.79	-61.013	104
"4"	428	42.7	2808.339	2531.951	-116.883	112
"5"	55229	5522.8	2386.919	1999.243	-30.908	132
"6"	10659	1065.8	2468.076	1976.771	-45.847	171
"7"	1010	100.9	2682.301	1979.153	-45.114	198
"8"	47098	4709.7	2676.917	1949.721	-33.824	209
"9"	17433	1743.2	2318.663	1983.232	-44.22	212
"10"	1024	102.3	2752.72	1989.061	-44.029	213
"11"	1856	185.5	2737.935	1979.827	-43.913	238
"12"	1647	164.6	2320.154	1984.71	-44.819	242
"13"	1387	138.6	2349.313	2005.566	-46.177	253
"14"	1481	148	2263.653	2013.982	-24.296	258
"15"	1399	139.8	2673.681	2630.024	-190.949	260
"16"	1422	142.1	2584.525	2649.547	-109.769	263
"17"	1437	143.6	2678.496	2648.219	-77.221	270
"18"	6810	680.9	1282.366	-135.572	7.106	273
"19"	1669	166.8	2843.516	2541.858	-73.317	285
"20"	1849	184.8	2123.489	2011.209	-34.165	291
"21"	1719	171.8	2762.08	2010.98	-28.53	294
"22"	1742	174.1	2737.184	1981.672	-52.341	296
"23"	1804	180.3	2735.149	1985.476	-49.454	300
"24"	1836	183.5	2737.958	1980.462	-44.214	308
"25"	27531	2753	2777.768	1969.153	-42.564	310
"26"	1858	185.7	2733.507	1960.118	-15.684	314
"27"	5273	527.2	2115.895	2021.427	-42.79	317
"28"	4649	464.8	1837.468	1995.429	-41.056	318
"29"	1865	186.4	2722.534	1951.846	-41.587	319
"30"	1863	186.2	2719.101	1978.662	-42.752	320
"31"	1878	187.7	2721.923	1962.443	-28.471	321
"32"	1931	193	2745.549	1965.73	-27.76	322
"33"	27548	2754.7	2792.119	1979.365	-25.012	324
"34"	1947	194.6	2719.418	1951.164	-45.537	332
"35"	1987	198.6	2698.647	1950.623	-37.877	338
"36"	2311	231	3053.742	1859.843	-28.426	344
"37"	3892	389.1	2761.913	2087.82	-36.878	346
"38"	8365	836.4	2589.825	2066.73	-46.524	356
"39"	7837	783.6	2631.164	2050.431	-44.234	369
"40"	2608	260.7	3160.373	2003.433	-38.296	370
"41"	5766	576.5	2505.985	2056.428	-43.706	378
"42"	6074	607.3	2475.067	2066.201	-42.824	380
"43"	2618	261.7	3167.996	2013.759	-24.723	381
"44"	2704	270.3	3192.598	1992.655	-30.19	387
"45"	2732	273.1	3207.085	1995.344	-26.108	389
"46"	2774	277.3	2685.011	2069.669	-46.036	391
"47"	2745	274.4	3207.316	1995.159	-27.036	392
"48"	2754	275.3	3207.006	1995.194	-30.258	393
"49"	2762	276.1	3214.188	2001.672	-16.872	395
"50"	2792	279.1	2685.514	2069.516	-46.102	399
"51"	2877	287.6	2667.687	2063.933	-45.187	401
"52"	5399	539.8	2572.21	2080.805	-46.966	409
"53"	8498	849.7	2401.639	2053.356	-48.297	411
"54"	3320	331.9	2595.924	2049.099	-47.347	418
"55"	44938	4493.7	1924.7	2007.255	-48.894	421
"56"	3749	374.8	2580.406	2051.07	-63.896	422
"57"	3337	333.6	2647.288	2691.521	-183.422	423
"58"	3350	334.9	2582.673	2666.201	-94.451	424
"59"	13413	1341.2	2318.883	1984.537	-44.26	428
"60"	5496	549.5	2051.973	2058.102	-41.332	429
"61"	3761	376	2590.451	2052.481	-49.996	430
"62"	5518	551.7	2521.312	2071.845	-46.413	431
"63"	3786	378.5	2627.118	2071.206	-43.288	432
"64"	3827	382.6	2680.978	2068.759	-47.176	433
"65"	13751	1375	2681.083	2054.164	-45.705	434
"66"	4389	438.8	2971.202	2042.075	-32.549	435
"67"	4049	404.8	2987.954	2014.098	-45.102	436
"68"	4075	407.4	3003.131	2027.552	-46.211	438
"69"	4180	417.9	2938.066	2025.18	-15.071	439
"70"	4291	429	2647.603	2069.199	-46.906	440
"71"	4832	483.1	2589.03	2050.287	-53.493	441
"72"	4676	467.5	2767.58	2048.3	-32.723	442
"73"	4408	440.7	2390.294	2035.566	-34.103	443
"74"	4457	445.6	2239.783	1985.582	-45.532	444
"75"	4462	446.1	2236.078	1983.486	-49.512	445
"76"	4489	448.8	2161.267	1990.2	-50.183	446
"77"	4610	460.9	1833.745	1993.997	-44.717	447
"78"	5668	566.7	1833.705	1996.703	-43.18	448
"79"	4664	466.3	1727.955	1996.976	-36.601	449
"80"	4673	467.2	1705.998	2005.857	-34.731	450
"81"	4689	468.8	2744.218	2039.853	-46.447	451
"82"	4891	489	1194.285	2078.672	-37.395	452
"83"	4729	472.8	2684.512	2061.318	-46.718	453
"84"	4719	471.8	2736.542	1964.382	-43.248	454
