"frame_number"	"time_in_deciseconds"	"X"	"Y"	"Z"	"ID"	"distance"
"1"	1	0	-1886.95	-1692.629	31.945	1	0.03
"2"	1	0	-1960.659	-1708.685	33.294	2	0.05
"3"	1	0	-1630.15	-1888.047	36.835	3	0.044
"4"	1	0	1086.164	-547.868	10.423	4	0.032
"5"	1	0	4532.134	2489.049	-57.338	5	0.039
"6"	1	0	3693.482	5151.181	-113.253	6	0.068
"7"	1	0	3644.398	5133.21	-113.14	7	0.031
"8"	1	0	3209.182	1877.558	-39.758	8	0.212
"9"	1	0	4371.294	2470.667	-57.904	9	0.095
"10"	1	0	-1441.354	8283.195	-181.232	10	0.037
"11"	1	0	1048.187	-669.859	11.946	11	0.017
"12"	1	0	1448.5	2086.304	-36.589	12	0.166
"13"	1	0	742.803	2112.517	-39.007	13	0.435
"14"	1	0	-2370.312	-1171.926	22.31	14	0.274
"15"	1	0	-1057.762	6737.32	-150.365	15	0.095
"16"	1	0	1453.405	2085.522	-42.943	16	0.115
"17"	1	0	-1938.714	-1709.925	32.6	18	0.174
"18"	1	0	-1681.22	-1856.317	40.348	19	4.197
"19"	1	0	4167.595	4279.463	-88.159	20	2.243
"20"	1	0	-1416.838	2029.372	-32.145	21	3.961
"21"	1	0	4058.982	2000.443	-41.564	22	5.74
"22"	1	0	3151.285	6656.364	-136.517	23	3.193
"23"	1	0	3198.711	1398.469	-38.273	24	2.568
"24"	1	0	3204.497	1943.564	-37.95	25	2.965
"25"	1	0	2261.593	7923.147	-173.31	26	1.364
"26"	1	0	-1092.332	2021.856	-34.317	27	0.817
"27"	1	0	4034.793	1994.137	-50.58	28	2.802
"28"	1	0	3199.816	1405.364	-38.184	29	6.993
"29"	3	0.2	-2533.323	-797.825	17.412	30	0.927
"30"	5	0.4	2660.866	1086.097	-13.103	31	0.705
"31"	28	2.7	4099.335	2051.995	-40.012	32	1.457
"32"	49	4.8	2713.478	1103.278	-13.859	33	0.428
"33"	63	6.2	4088.848	4404.847	-86.644	34	3.965
"34"	79	7.8	-1057.724	6737.524	-150.048	35	0.265
"35"	120	11.9	-1057.74	6737.363	-150.189	36	0.429
"36"	170	16.9	3921.631	4672.367	-92.45	37	1.757
"37"	185	18.4	2893.732	1190.861	-13.037	38	2.268
