"frame_number"	"time_in_deciseconds"	"X"	"Y"	"Z"	"ID"	"distance"
"1"	366	36.5	-3369.075	7299.535	-119.58	1	NA
"2"	5	0.4	4648.125	789.192	-12.879	2	NA
"3"	440	43.9	4005.996	1971.618	-41.45	3	NA
"4"	1999	199.8	-1416.658	8227.221	-176.25	4	NA
"5"	4000	399.9	-1918.053	8223.751	-176.409	5	NA
"6"	7	0.6	4653.925	729.723	-9.35	6	NA
"7"	3215	321.4	-2428.28	8167.587	-175.674	7	NA
"8"	31	3	4601.652	739.23	-9.803	8	NA
"9"	4947	494.6	3263.318	6303.652	-140.623	9	NA
"10"	481	48	-3375.482	7226.162	-44.971	11	NA
"11"	5483	548.2	1054.841	-536.043	9.759	12	NA
"12"	180	17.9	-3224.598	7409.283	-167.197	13	NA
"13"	34	3.3	4516.596	836.862	-6.511	14	NA
"14"	2884	288.3	-2678.678	578.897	2.107	15	NA
"15"	34	3.3	4564.408	756.868	-7.661	17	NA
"16"	12	1.1	4454.76	2692.386	-59.766	18	NA
"17"	4395	439.4	-3518.008	6938.523	-149.848	19	NA
"18"	518	51.7	-2730.56	7992.32	-168.297	20	NA
"19"	851	85	-3175.178	7577.565	-165.015	21	NA
"20"	3220	321.9	-3451.032	7075.973	-149.343	22	NA
"21"	18	1.7	2589.194	7631.818	-170.504	24	NA
"22"	12	1.1	4648.523	746.66	-11.87	37	NA
"23"	17	1.6	4643.845	808.393	-8.578	38	NA
"24"	16	1.5	865.742	-966.81	20.737	39	NA
"25"	17	1.6	4769.951	657.026	-54.705	40	NA
"26"	29	2.8	4647.588	745.985	-11.643	41	NA
"27"	22	2.1	4644.501	814.339	4.759	43	NA
"28"	22	2.1	4646.681	746.523	-10.668	44	NA
"29"	27	2.6	4769.975	657.024	-54.013	45	NA
"30"	60	5.9	2526.566	7688.854	-161.406	47	NA
"31"	31	3	4645.272	806.415	-14.196	52	NA
"32"	409	40.8	4481.623	3499.834	-66.99	55	NA
"33"	70	6.9	4518.691	909.494	-12.268	56	NA
"34"	37	3.6	4507.368	965.388	27.103	57	NA
"35"	43	4.2	874.281	-924.19	25.436	58	NA
"36"	34	3.3	4636.633	805.48	-26.243	59	NA
"37"	37	3.6	4589.28	1007.82	-7.574	60	NA
"38"	32	3.1	4706.414	826.214	-62.052	61	NA
"39"	33	3.2	4504.683	997.905	-13.969	62	NA
"40"	38	3.7	4288.18	898.22	-14.636	64	NA
"41"	37	3.6	4290.308	891.593	0.926	65	NA
"42"	37	3.6	4603.026	872.831	-51.693	66	NA
"43"	4508	450.7	4659.363	1232.615	-24.202	67	NA
"44"	38	3.7	4329.057	891.25	-9.555	71	NA
"45"	84	8.3	4361.931	949.962	-8.192	72	NA
"46"	83	8.2	4290.322	965.771	-14.734	73	NA
"47"	84	8.3	4373.384	889.242	3.6	76	NA
"48"	83	8.2	4294.524	903.33	-10.458	78	NA
"49"	82	8.1	4245.62	922.813	-15.127	80	NA
"50"	66	6.5	4588.339	1000.824	-17.017	81	NA
"51"	4508	450.7	4660.99	1143.604	-8.34	82	NA
"52"	66	6.5	4591.89	907.323	-12.674	83	NA
"53"	96	9.5	4724.403	891.331	-6.626	84	NA
"54"	42	4.1	4399.669	819.771	-8.73	85	NA
"55"	4493	449.2	4632.231	647.164	-3.874	86	NA
"56"	83	8.2	4448.21	828.506	-13.307	87	NA
"57"	82	8.1	4507.195	752.144	-9.997	88	NA
"58"	85	8.4	4473.689	901.425	42.709	89	NA
"59"	80	7.9	4505.64	750.813	-9.184	91	NA
"60"	66	6.5	4628.699	883.165	-30.708	92	NA
"61"	66	6.5	4622.167	978.693	-31.454	93	NA
"62"	436	43.5	2010.768	8115.096	-173.262	94	NA
"63"	71	7	4561.932	963.29	-11.17	95	NA
"64"	71	7	4640.654	966.966	-50.782	96	NA
"65"	72	7.1	4601.488	1002.658	-17.031	97	NA
"66"	81	8	4693.584	1073.391	-7.317	98	NA
"67"	95	9.4	4629.077	1079.213	-14.087	99	NA
"68"	79	7.8	4701.839	1161.407	-17.869	100	NA
"69"	80	7.9	-1057.41	6736.998	-151.019	101	NA
"70"	89	8.8	907.23	-857.682	27.282	102	NA
"71"	4504	450.3	4714.087	1131.217	-21.529	103	NA
"72"	88	8.7	4725.825	886.17	-16.401	104	NA
"73"	88	8.7	4692.962	1074.149	-5.447	105	NA
"74"	4493	449.2	4632.612	720.88	20.01	106	NA
"75"	112	11.1	4758.348	937.894	-34.25	107	NA
"76"	4494	449.3	4638.569	891.207	4.635	108	NA
"77"	4494	449.3	4634.52	943.964	32.765	109	NA
"78"	4491	449	4688.391	697.215	-9.64	110	NA
"79"	4494	449.3	4682.405	881.301	4.735	111	NA
"80"	4493	449.2	4681.712	635.364	-4.988	112	NA
"81"	500	49.9	4714.928	631.611	-42.011	113	NA
"82"	502	50.1	4755.226	646.579	-15.989	114	NA
"83"	97	9.6	4731.209	1112.561	-20.609	115	NA
"84"	4509	450.8	4670.609	1191.655	-11.155	116	NA
"85"	101	10	4742.831	1154.697	59.365	117	NA
"86"	107	10.6	4849.302	807.899	-58.411	118	NA
"87"	108	10.7	4755.103	802.821	-124.505	119	NA
"88"	4506	450.5	4726.186	1224.797	-24.318	120	NA
"89"	113	11.2	4849.681	807.549	-57.234	121	NA
"90"	4490	448.9	4727.564	956.591	-17.564	122	NA
"91"	4494	449.3	4725.806	889.299	5.263	123	NA
"92"	116	11.5	4745.854	1305.191	86.315	124	NA
"93"	124	12.3	933.898	-800.709	26.09	125	NA
"94"	541	54	-3227.45	7424.277	-157.575	126	NA
"95"	319	31.8	1131.975	-505.932	9.892	127	NA
"96"	328	32.7	1136.276	-488.197	9.1	128	NA
"97"	371	37	-3381.961	7223.025	-52.687	129	NA
"98"	374	37.3	1164.274	-385.101	29.909	130	NA
"99"	395	39.4	1204.511	-370.021	7.182	131	NA
