"frame_number"	"time_in_deciseconds"	"X"	"Y"	"Z"	"ID"	"distance"
"1"	1	0	575.989	9.888	48.961	1	0.007
"2"	1	0	10.074	9.946	49.141	2	0.004
"3"	1	0	209.424	10.5	49.204	3	0.012
"4"	1	0	8.998	375.782	48.979	4	0.008
"5"	1	0	510.645	29.844	-1.573	5	0.47
"6"	1	0	510.176	-10.151	-2.951	6	0.374
"7"	9	0.8	2538.267	2391.844	-175.693	7	0.009
"8"	9	0.8	2528.355	2496.669	34.518	8	76.054
"9"	10	0.9	2477.128	2508.437	79.932	9	16.906
"10"	14	1.3	2454.292	2285.064	-48.485	10	0.044
"11"	14	1.3	2443.83	2426.884	-65.291	11	30.548
"12"	15	1.4	2486.703	2482.314	-4.385	12	0.365
"13"	16	1.5	2549.86	2380.998	-145.394	13	0.188
"14"	20	1.9	2473.698	2435.07	-9.91	14	0.202
"15"	20	1.9	2475.932	2459.891	-6.546	15	1.103
"16"	20	1.9	2432.372	2350.498	-90.138	17	68.689
"17"	26	2.5	2574.007	2480.617	-2.758	18	0.169
"18"	30	2.9	2473.579	2435.429	-10.252	19	7.703
"19"	35	3.4	2473.586	2435.42	-10.289	20	0.181
"20"	35	3.4	2392.784	2387.107	-152.787	21	104.459
"21"	37	3.6	2599.725	2518.348	139.035	22	85.242
"22"	42	4.1	2570.65	2438.14	-34.166	25	0.049
"23"	81	8	2587.082	2474.315	-12.371	27	0.05
"24"	86	8.5	2509.996	2378.825	-111.194	28	0.492
"25"	86	8.5	2545.392	2373.985	-156.705	29	7.74
"26"	96	9.5	2511.032	2376.281	-111.17	30	0.097
"27"	96	9.5	2552.496	2410.21	-138.985	31	0.424
"28"	102	10.1	2604.287	2542.05	132.726	32	71.264
"29"	107	10.6	2611.133	2252.161	-31.903	34	0.021
"30"	139	13.8	2403.838	2411.308	-156.66	36	0.255
"31"	147	14.6	2466.704	2471.835	-30.047	37	3.456
"32"	161	16	2665.839	2040.654	-11.703	40	8.369
"33"	214	21.3	2610.117	2248.903	-32.518	42	0.048
"34"	254	25.3	2555.869	2254.37	-20.223	44	0.079
"35"	256	25.5	2598.276	2222.154	47.312	45	1.703
"36"	260	25.9	2527.852	2208.434	96.224	46	0.336
"37"	261	26	2601.096	2248.906	34.712	47	0.231
"38"	280	27.9	2438.986	2291.261	-51.679	48	15.838
"39"	282	28.1	2532.371	2228.542	97.711	49	0.042
"40"	282	28.1	2617.453	2302.119	-31.114	50	0.484
"41"	284	28.3	2471.006	2290.72	-29.96	51	0.032
"42"	285	28.4	2538.583	2238.119	109.219	52	0.223
"43"	288	28.7	2479.941	2401.208	-166.367	53	0.217
"44"	302	30.1	2431.733	2822.331	2.475	54	61.639
"45"	303	30.2	2566.951	2898.684	142.526	55	2.919
"46"	305	30.4	2450.619	2505.22	65.072	56	18.167
"47"	306	30.5	2417.152	2540.391	-39.133	57	25.737
"48"	446	44.5	2685.196	2225.512	122.707	63	1.265
"49"	482	48.1	2739.587	2075.338	40.892	64	76.462
"50"	593	59.2	2604.307	2154.901	102.954	69	11.585
"51"	677	67.6	2566.155	2113.648	90.03	70	10.107
"52"	745	74.4	2563.885	2282.898	113.913	73	15.078
"53"	768	76.7	2545.35	2179.569	89.737	74	29.32
"54"	852	85.1	2542.755	2253.164	89.78	76	14.228
"55"	934	93.3	2535.06	2250.97	95.858	79	12.241
"56"	1037	103.6	2503.089	2270.717	94.295	81	16.778
"57"	1124	112.3	2473.033	2254.635	88.424	84	11.377
"58"	1226	122.5	2435.712	2235.929	119.954	85	44.289
"59"	1299	129.8	2441.768	2284.281	142.676	87	13.152
"60"	1310	130.9	2423.129	2231.946	122.16	88	35.671
