"frame_number"	"time_in_deciseconds"	"X"	"Y"	"Z"	"ID"	"distance"
"1"	100947	10094.6	575.722	9.901	49.171	1	NA
"2"	100947	10094.6	9.798	9.479	49.39	2	NA
"3"	100947	10094.6	209.254	10.109	49.559	3	NA
"4"	100947	10094.6	8.833	375.411	49.291	4	NA
"5"	100947	10094.6	511.248	30.068	-0.244	5	NA
"6"	100947	10094.6	510.56	-9.362	-3.011	6	NA
"7"	24	2.3	2545.338	2374.01	-156.693	7	NA
"8"	11	1	2444.095	2418.651	-64.922	8	NA
"9"	12	1.1	2493.205	2502.931	66.666	9	NA
"10"	19	1.8	2454.287	2285.146	-48.378	10	NA
"11"	16	1.5	2476.129	2460.775	-6.531	11	NA
"12"	17	1.6	2487.948	2483.369	-1.492	12	NA
"13"	34	3.3	2545.57	2374.032	-156.701	13	NA
"14"	44	4.3	2473.623	2434.864	-10.239	14	NA
"15"	22	2.1	2475.873	2457.861	-5.089	15	NA
"16"	22	2.1	2549.686	2380.802	-145.118	17	NA
"17"	32	3.1	2574.128	2480.392	-2.876	18	NA
"18"	32	3.1	2473.583	2435.325	-10.469	19	NA
"19"	37	3.6	2475.318	2427.896	-7.955	20	NA
"20"	37	3.6	2507.835	2519.942	143.308	21	NA
"21"	39	3.8	2538.091	2391.931	-175.358	22	NA
"22"	44	4.3	2570.536	2438.013	-34.644	25	NA
"23"	83	8.2	2587.08	2474.336	-12.371	27	NA
"24"	88	8.7	2511.145	2376.33	-111.436	28	NA
"25"	102	10.1	2546.538	2371.724	-157.693	29	NA
"26"	193	19.2	2515.196	2373.192	-111.593	30	NA
"27"	98	9.7	2552.829	2410.194	-139.033	31	NA
"28"	106	10.5	2394.78	2435.485	-180.709	32	NA
"29"	111	11	2611.138	2252.236	-31.774	34	NA
"30"	144	14.3	2403.281	2411.228	-155.897	36	NA
"31"	153	15.2	2462.687	2613.085	113.8	37	NA
"32"	431	43	2685.315	2021.167	-23.266	40	NA
"33"	293	29.2	2608.924	2252.038	-32.443	42	NA
"34"	285	28.4	2557.583	2257.118	-18.508	44	NA
"35"	296	29.5	2597.523	2265.598	77.625	45	NA
"36"	295	29.4	2534.577	2213.407	120.188	46	NA
"37"	292	29.1	2601.037	2248.776	34.708	47	NA
"38"	291	29	2450.075	2274.806	-32.247	48	NA
"39"	290	28.9	2531.848	2227.659	97.172	49	NA
"40"	291	29	2617.692	2302.185	-31.89	50	NA
"41"	293	29.2	2469.459	2292.752	-27.89	51	NA
"42"	290	28.9	2538.485	2238.204	108.895	52	NA
"43"	292	29.1	2496.122	2368.04	-134.849	53	NA
"44"	304	30.3	2325.853	2746.754	-125.155	54	NA
"45"	305	30.4	2568.495	2888.272	98.263	55	NA
"46"	308	30.7	2501.627	2515.639	-40.577	56	NA
"47"	308	30.7	2462.65	2550.581	-76.223	57	NA
"48"	13837	1383.6	2671.322	2039.307	-44.62	63	NA
"49"	16320	1631.9	2741.848	2026.224	-45.782	64	NA
"50"	1600	159.9	2594.466	2025.914	-40.48	69	NA
"51"	6785	678.4	2575.6	2026.546	-37.107	70	NA
"52"	749	74.8	2553.954	2242.979	97.287	73	NA
"53"	6945	694.4	2561.679	2029.06	-50.615	74	NA
"54"	26195	2619.4	2515.059	2154.684	-44.941	76	NA
"55"	1745	174.4	2473.722	2027.35	-43.377	79	NA
"56"	2843	284.2	2423.635	2136.145	-37.338	81	NA
"57"	17616	1761.5	2441.075	2032.519	-45.984	84	NA
"58"	17737	1773.6	2406.913	2013.223	-34.924	85	NA
"59"	1304	130.3	2434.447	2255.322	129.204	87	NA
"60"	2086	208.5	2346.593	2028.327	-64.238	88	NA
"61"	20033	2003.2	2294.878	1977.966	-40.598	89	NA
"62"	3169	316.8	2334.191	2024.188	-35.955	91	NA
"63"	2774	277.3	2257.536	2025.351	-55.925	93	NA
"64"	2020	201.9	2593.118	2025.154	-44.397	94	NA
"65"	2788	278.7	2210.534	2033.125	-41.522	96	NA
"66"	1969	196.8	2375.357	2091.461	-37.346	97	NA
"67"	2388	238.7	2207.733	2027.452	-32.292	98	NA
"68"	2624	262.3	2207.417	2028.475	-41.15	100	NA
"69"	2831	283	1905.763	2057.75	-35.915	102	NA
"70"	1993	199.2	2328.9	2089.611	-35.473	104	NA
"71"	2437	243.6	3095.549	2189.295	-38.793	106	NA
"72"	2139	213.8	2083.156	2090.014	-36.147	107	NA
"73"	3220	321.9	2343.761	2043.006	-41.346	108	NA
"74"	2169	216.8	2028.242	2087.271	-37.186	109	NA
"75"	2222	222.1	1907.408	2092.287	-38.785	110	NA
"76"	5991	599	1852.931	2099.552	-36.001	111	NA
"77"	2516	251.5	2205.442	2025.772	-38.923	113	NA
"78"	3167	316.6	2732.312	2068.02	-42.867	114	NA
"79"	2577	257.6	3189.842	2161.3	-36.18	115	NA
"80"	29193	2919.2	2709.809	2074.79	-43.723	118	NA
"81"	2566	256.5	2204.358	2025.186	-42.199	120	NA
"82"	2556	255.5	2620.626	2291.645	104.328	121	NA
"83"	27126	2712.5	2643.79	2056.662	-28.313	122	NA
"84"	2608	260.7	3207.482	2154.877	-39.814	123	NA
"85"	5407	540.6	-959.341	2175.07	-34.919	125	NA
"86"	29765	2976.4	3129.688	1971.639	-34.554	127	NA
"87"	2665	266.4	3234.984	2129.829	-36.546	128	NA
"88"	2911	291	3134.391	2131.471	-35.953	129	NA
"89"	2708	270.7	2204.479	2027.971	-66.538	132	NA
"90"	25090	2508.9	2746.423	2036.874	-19.381	133	NA
"91"	2730	272.9	2215.687	2008.384	-40.631	134	NA
"92"	27405	2740.4	2244.538	1972.05	-34.19	136	NA
"93"	9531	953	2738.718	2080.202	-48.215	137	NA
"94"	24099	2409.8	2509.947	2150.295	-68.601	138	NA
"95"	2967	296.6	2217.577	2010.484	-30.766	139	NA
"96"	2856	285.5	2407.056	2126.351	-39.069	141	NA
"97"	17488	1748.7	2460.704	2046.428	-50.53	142	NA
"98"	2971	297	1616.656	2083.751	-36.272	144	NA
"99"	7037	703.6	2523.855	2083.738	-45.781	145	NA
"100"	2972	297.1	2218.884	2098.986	-37.262	146	NA
"101"	3264	326.3	3212.067	2145.115	-38.116	147	NA
"102"	2960	295.9	2659.217	2555.54	-242.243	148	NA
"103"	2977	297.6	2513.194	2292.447	105.307	149	NA
"104"	6577	657.6	2475.738	2060.554	-44.095	150	NA
"105"	3163	316.2	1372.09	2040.224	-33.173	151	NA
"106"	3020	301.9	2242.687	2029.967	-32.889	152	NA
"107"	3029	302.8	2104.673	2110.4	-37.19	153	NA
"108"	3071	307	2049.349	2097.414	-35.713	155	NA
"109"	3062	306.1	2528.923	2320.021	95.109	156	NA
"110"	3079	307.8	2272.862	2037.29	-43.475	157	NA
"111"	23347	2334.6	2361.062	2097.526	-35.672	158	NA
"112"	3137	313.6	1925.368	2087.709	-35.456	159	NA
"113"	3167	316.6	1841.925	2093.146	-39.444	161	NA
"114"	3174	317.3	2272.741	2037.249	-42.612	162	NA
"115"	3169	316.8	2493.714	2310.126	96.359	163	NA
"116"	55351	5535	2511.04	2159.706	-45.491	164	NA
"117"	3201	320	2343.547	2042.408	-41.462	166	NA
"118"	3199	319.8	1287.632	2052.36	-33.222	167	NA
"119"	3206	320.5	2281.216	2011.558	-34.42	168	NA
"120"	3210	320.9	2277.634	2003.364	-34.123	169	NA
"121"	3213	321.2	2594.633	2087.96	-44.514	170	NA
"122"	3757	375.6	2334.225	2039.611	-46.89	171	NA
"123"	3215	321.4	1258.389	2064.184	-34.34	172	NA
"124"	3249	324.8	1196.066	2106.922	-33.005	173	NA
"125"	3243	324.2	2240.123	1975.479	-34.403	174	NA
"126"	3242	324.1	1733.537	2097.239	-33.98	175	NA
"127"	3320	331.9	1590.226	2097.963	-35.647	177	NA
"128"	5015	501.4	2381.528	2068.726	2.838	178	NA
"129"	3283	328.2	1119.743	2094.148	-35.541	179	NA
"130"	3338	333.7	2232.636	2062.017	-32.07	180	NA
"131"	3331	333	1019.666	2080.441	-35.218	181	NA
"132"	3890	388.9	2263.123	2029.018	-40.94	182	NA
"133"	3344	334.3	2363.745	2057.792	41.458	183	NA
"134"	3383	338.2	1470.932	2083.147	-34.712	184	NA
"135"	3532	353.1	1845.982	2088.482	-42.939	185	NA
"136"	3383	338.2	896.636	2087.438	-34.879	186	NA
"137"	3382	338.1	2267.413	2032.474	-69.472	187	NA
"138"	3422	342.1	1408.024	2066.181	-33.034	188	NA
"139"	3427	342.6	802.151	2073.169	-31.178	189	NA
"140"	3841	384	3012.852	2180.535	-38.679	190	NA
"141"	25948	2594.7	2340.028	2079.56	-41.108	191	NA
"142"	3439	343.8	1373.22	2062.208	-33.512	192	NA
"143"	3448	344.7	749.389	2067.942	-31.139	193	NA
"144"	3552	355.1	1170.068	2108.984	-33.992	194	NA
"145"	3459	345.8	2183.551	1969.319	-33.593	195	NA
"146"	3497	349.6	648.313	2051.636	-31.629	197	NA
"147"	3493	349.2	2167.668	1960.812	-32.782	198	NA
"148"	4842	484.1	2305.299	2118.249	-41.958	199	NA
"149"	3516	351.5	2151.98	2008.817	-33.144	200	NA
"150"	3518	351.7	2556.064	2434.486	78.508	201	NA
"151"	3532	353.1	2153.532	2036.591	-43.087	202	NA
"152"	3648	364.7	293.337	2022.057	-30.394	203	NA
"153"	3538	353.7	1846.613	2089.006	-44.771	204	NA
"154"	3542	354.1	2179.657	2052.489	-34.736	205	NA
"155"	3545	354.4	1845.513	2088.578	-41.796	206	NA
"156"	16131	1613	-848.44	2153.048	-31.725	207	NA
"157"	3585	358.4	2333.595	2036.779	-43.008	208	NA
"158"	3586	358.5	2094.221	2081.943	-36.223	210	NA
"159"	6704	670.3	2306.55	2119.322	-41.52	211	NA
"160"	3595	359.4	2327.015	2032.813	-49.72	212	NA
"161"	3844	384.3	2334.02	2039.226	-41.358	213	NA
"162"	3618	361.7	1078.077	2105.498	-33.994	214	NA
"163"	3680	367.9	1856.265	2084.901	-21.516	215	NA
"164"	3678	367.7	979.623	2108.438	-34.071	216	NA
"165"	3656	365.5	2328.196	2033.814	-58.354	217	NA
"166"	3662	366.1	2338.003	2029.587	-65.074	218	NA
"167"	13514	1351.3	2177.698	2126.337	-93.972	219	NA
"168"	3715	371.4	925.225	2096.215	-33.482	220	NA
"169"	3736	373.5	886.988	2100.206	-34.87	223	NA
"170"	5887	588.6	2210.77	2112.363	-62.849	224	NA
"171"	3788	378.7	1641.946	2060.967	-36.547	225	NA
"172"	3782	378.1	829.919	2094.335	-33.659	227	NA
"173"	3932	393.1	2338.055	2040.782	-44.058	228	NA
"174"	3811	381	802.474	2105.714	-34.654	231	NA
"175"	4115	411.4	875.847	2080.393	-33.362	232	NA
"176"	3842	384.1	771.899	2076.103	-33.127	233	NA
"177"	5043	504.2	2245.41	2185.901	58.961	234	NA
"178"	3854	385.3	2382.212	2068.21	11.81	235	NA
"179"	3854	385.3	-159.954	2080.238	-32.011	236	NA
"180"	4228	422.7	2331.318	2039.74	-43.549	237	NA
"181"	4318	431.7	3171.402	2130.56	-36.968	238	NA
"182"	3887	388.6	-241.859	2091.3	-32.102	239	NA
"183"	3912	391.1	643.644	2077.013	-32.055	241	NA
"184"	3902	390.1	-277.244	2090.076	-31.145	242	NA
"185"	23518	2351.7	2120.973	2105.818	-43.338	243	NA
"186"	3932	393.1	-346.316	2080.707	-34.126	244	NA
"187"	3925	392.4	2349.942	2307.983	135.32	245	NA
"188"	22534	2253.3	2209.665	2103.469	-15.459	246	NA
"189"	3937	393.6	610.872	2079.752	-33.247	247	NA
"190"	3939	393.8	2381.178	2068.262	10.703	248	NA
"191"	34901	3490	2328.653	2075.991	-40.408	249	NA
"192"	3983	398.2	540.473	2069.895	-30.717	250	NA
"193"	3993	399.2	-482.676	2088.801	-31.563	251	NA
"194"	4011	401	507.127	2071.21	-32.953	252	NA
"195"	71248	7124.7	1763.228	2076.662	-35.617	253	NA
"196"	4064	406.3	-634.15	2099.118	-32.339	255	NA
"197"	4093	409.2	380.577	2038.754	-30.755	256	NA
"198"	4088	408.7	-691.504	2109.1	-31.295	257	NA
"199"	4701	470	-585.064	2083.213	-33.072	258	NA
"200"	4134	413.3	296.548	2036.317	-29.342	259	NA
"201"	4153	415.2	258.223	2040.461	-29.666	260	NA
"202"	4178	417.7	-916.934	2135.07	-33.015	261	NA
"203"	4210	420.9	141.904	2047.912	-30.341	263	NA
"204"	4198	419.7	-972.828	2136.501	-36.369	264	NA
"205"	4227	422.6	-1026.699	2125.976	-33.252	265	NA
"206"	4270	426.9	2319.255	2011.171	-93.6	266	NA
"207"	4300	429.9	-1189.926	2080.488	-35.291	267	NA
"208"	4286	428.5	2331.001	2039.58	-43.837	269	NA
"209"	4377	437.6	2331.133	2039.693	-43.735	270	NA
"210"	4374	437.3	-1342.722	2050.753	-32.051	271	NA
"211"	4800	479.9	3237.62	2141.276	-37.911	272	NA
"212"	4455	445.4	-1448.612	2009.725	-33.956	273	NA
"213"	4423	442.2	2331.635	2040.394	-43.028	274	NA
"214"	4395	439.4	-227.23	2089.574	-31.502	275	NA
"215"	4416	441.5	-263.415	2088.194	-31.035	276	NA
"216"	4547	454.6	2319.007	2011.34	-93.838	277	NA
"217"	4444	444.3	-317.782	2082.807	-32.81	278	NA
"218"	4527	452.6	-1584.702	1954.23	-29.957	279	NA
"219"	30627	3062.6	2282.169	2032.16	-37.712	280	NA
"220"	4589	458.8	-1721.279	1895.375	-30.261	281	NA
"221"	4585	458.4	-587.678	2109.814	-32.248	282	NA
"222"	4684	468.3	-1891.452	1804.979	-30.307	283	NA
"223"	8124	812.3	-690.541	2099.948	-24.474	284	NA
"224"	6477	647.6	-1943.698	1790.552	-37.332	285	NA
"225"	4743	474.2	-672.24	2114.212	-47.349	286	NA
"226"	4751	475	-700.579	2111.394	-32.715	287	NA
"227"	4778	477.7	-769.751	2129.378	-50.856	289	NA
"228"	4784	478.3	-776.559	2125.854	-33.252	290	NA
"229"	4813	481.2	-826.082	2128.239	-51.313	291	NA
"230"	5027	502.6	3336.369	2050.382	-35.866	292	NA
"231"	4928	492.7	-1096.948	2113.893	-35.763	293	NA
"232"	4856	485.5	2312.156	2130.563	-33.236	294	NA
"233"	4918	491.7	2307.469	2118.939	-41.229	295	NA
"234"	5315	531.4	1855.869	2087.93	-38.858	296	NA
"235"	4966	496.5	-1161.72	2094.379	-33.588	297	NA
"236"	4989	498.8	-1207.774	2087.169	-34.457	298	NA
"237"	5035	503.4	-1337.933	2048.022	-32.393	299	NA
"238"	5065	506.4	2382.358	2059.675	-38.878	300	NA
"239"	5144	514.3	3311.317	1970.406	-36.805	301	NA
"240"	5063	506.2	-1423.056	2029.964	-33.684	302	NA
"241"	5090	508.9	-1485.037	1996.001	-33.272	303	NA
"242"	6070	606.9	2218.698	2114.069	-45.081	304	NA
"243"	5121	512	2357.004	2072.397	-37.136	305	NA
"244"	5119	511.8	-1556.585	1978.338	-33.356	306	NA
"245"	6716	671.5	2306.426	2120.094	-41.71	307	NA
"246"	5166	516.5	3300.84	1956.493	-37.182	308	NA
"247"	5163	516.2	-1649.592	1935.969	-32.319	309	NA
"248"	5189	518.8	-1704.688	1899.108	-38.388	310	NA
"249"	5236	523.5	-1827.574	1850.414	-26.115	311	NA
"250"	5262	526.1	3278.87	1935.029	-37.303	312	NA
"251"	5270	526.9	-1906.938	1811.698	-36.284	313	NA
"252"	5272	527.1	-670.155	2117.178	-52.984	314	NA
"253"	5291	529	-1952.334	1792.967	-35.55	315	NA
"254"	5325	532.4	-2036.146	1741.529	-31.584	316	NA
"255"	5350	534.9	-2082.337	1705.083	-30.216	317	NA
"256"	31338	3133.7	1615.835	2099.31	-46.308	318	NA
"257"	5393	539.2	-2173.611	1640.841	-30.261	319	NA
"258"	14850	1484.9	-1139.674	2093.259	-29.045	320	NA
"259"	5460	545.9	-2288.627	1511.915	-28.353	321	NA
"260"	5537	553.6	-2414.566	1349.164	-11.073	322	NA
"261"	5590	558.9	-2436.632	1226.425	-19.971	323	NA
"262"	5601	560	-2453.926	1193.679	-5.882	324	NA
"263"	5651	565	-2514.789	1077.605	-3.545	325	NA
"264"	5696	569.5	-2562.932	960.28	-3.416	326	NA
"265"	5756	575.5	-2617.465	810.769	3.934	327	NA
"266"	5810	580.9	-2633.969	735.361	-8.006	328	NA
"267"	5832	583.1	-2646.302	718.234	-3.351	329	NA
"268"	5877	587.6	-2648.165	604.29	3.011	330	NA
"269"	6089	608.8	2218.307	2114.135	-45.421	331	NA
"270"	5942	594.1	-2661.135	428.619	1.719	332	NA
"271"	5981	598	-2653.174	318.969	13.737	333	NA
"272"	6007	600.6	-2663.818	250.982	16.506	334	NA
"273"	6017	601.6	1854.759	2113.921	-36.162	335	NA
"274"	6020	601.9	-2661.77	221.501	15.834	336	NA
"275"	6076	607.5	-2666.613	64.466	18.289	337	NA
"276"	34391	3439	-2357.182	-1187.792	30.772	338	NA
"277"	7978	797.7	2197.433	2105.018	-32.926	339	NA
"278"	6105	610.4	-2657.459	-20.426	19.577	340	NA
"279"	22163	2216.2	2222.777	2147.129	-47.58	341	NA
"280"	6136	613.5	-2655.363	-112.849	21.048	342	NA
"281"	6154	615.3	-2647.555	-155.491	22.586	343	NA
"282"	6190	618.9	-2651.63	-260.52	25.476	344	NA
"283"	6234	623.3	-2621.829	-348.492	12.859	345	NA
"284"	6251	625	-2609.57	-381.163	20.588	346	NA
"285"	6272	627.1	-2592.826	-446.71	26.636	347	NA
"286"	6337	633.6	-2572.579	-629.547	31.261	348	NA
"287"	7376	737.5	3269.902	1926.245	-44.197	349	NA
"288"	6404	640.3	-2526.11	-783.973	25.089	350	NA
"289"	6409	640.8	-2519.265	-800.808	33.718	351	NA
"290"	6447	644.6	-2478.835	-911.728	33.68	352	NA
"291"	6463	646.2	-2474.489	-959.685	35.082	353	NA
